index,artist_name,track_name,release_date,genre,lyrics,topic,spotify_link,image_link,,,
10,thechordettes,carolina moon,1951,pop,moon shin shin wait moon pin pin place long hop tonight right window scatter light alright tell blue lonely dreamy moon shin wait pin place long hop tonight right window scatter light alright tell blue lonely dreamy moon,night/time,https://open.spotify.com/track/68UrAEx70Iee82h1ULgZVz,https://i.scdn.co/image/ab67616d0000b27320bfa6114be3fcada3b5b3e3,,,
11,frankielaine,necessary evil,1951,pop,come motherfucker spit shit minutes chillin bitchin stuff frankly dont fuck intimate feel stuff feel like sit duck fuel cause theres weakness step fuckin bitch wanna test better caution extra warn mar yeah second horseman kill justify like family diss rest swaggin like rockstar limitless horrorcore bear mister death envy bitterness play rough fool piss presence perfect line spit sentence bless excrements holy shit endin want fight victim vengeance hook kill stone smother know flow super flow like fuckin know soul brother life like cover come punisher know gold hustlah pirate mafakka throath cutter know amazin controllin time space ancient mind razor rhyme alien laser eye cold roll dice crush glacier size fadin live high bitch think say straight think say clearly evil evil necessary prayers virgin diss hospital cemetary leave vast speculation quit rappin wack reputation write everyday lack termination education come motherfucker wanna packin chattin braggin demon rappin blastin smashin kickin jabbin peak game feel swaggin superrap flow little taste embrace feelin like waste greatest create dream replace fake reach overaged,obscene,https://open.spotify.com/track/6Rt9GlwZEDU0V3vhXrUNqJ,https://i.scdn.co/image/ab67616d0000b273d343f301ecbf409d032da616,,,
12,ghantasala,kanugona galano,1951,pop,work morning flight watch even burn away tear life leave trouble door leave know hold go leave strand grind hear heart music end learn away hear heart music end learn away maybe think think know know heart feel like garbo late night grande hotel live hold go leave strand grind hear heart music end learn away hold go leave strand grind hear heart music end learn away hear heart music end learn away,sadness,https://open.spotify.com/track/4nl7z3O08qHAmyfv3FPVHA,https://i.scdn.co/image/ab67616d0000b2733903aabcdfaddd820394504f,,,
13,lespaul,the carioca,1951,pop,see carioca foxtrot polka little rhythm blue rhythm sigh meter tricky wicked wackywicky dance true dream carioca theme kiss sigh dream carioca music light go goodbye head better head dance begin arm lips carioca care polka realize blue hula bamboola tomorrow morning discover carioca lover dance true dream carioca theme kiss sigh dream carioca music light go say goodbye goodbye,romantic,https://open.spotify.com/track/2CHaY7k5WJ4E1U06FRarbx,https://i.scdn.co/image/ab67616d0000b2733903aabcdfaddd820394504f,,,
14,lespaul,chicken reel,1951,pop,hahaha alright yeah alright even shoot complain things go want cliché life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna thing dreamer think uncool preach better life learn school life live come life life easy tough life easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna things right need fighta life nicea elders polite hurt forget smile nation small good reward unite stand divide fall smile face greet life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face alright world better place smile face whatcha gonna whatcha gonna smile face yeah world better place smile face whatcha gonna whatcha gonna smile face smile world better place smile face yeah whatcha gonna whatcha gonna people smile hate screw lot happiness rasta know wish coulda come jamaica honolulu smile face good smile smile fine know vibes smile give inside smile look beautiful like come haha dimple cute hahaha happiness zeen smile,world/life,https://open.spotify.com/track/4z0t30MrGULjqkmDIk7Rv7,https://i.scdn.co/image/ab67616d0000b27341b1c6dc6c45d5cc69bdbec2,,,
15,lespaul,blue skies,1951,pop,blue sky smile blue sky bluebirds sing song bluebirds long shin bright things go right notice days hurry blue days go blue sky blue sky smile blue sky shin bright things go right notice days hurry blue days go blue sky blue sky,music,https://open.spotify.com/track/47kmWSOz5KwFfo9S0DEpNR,https://i.scdn.co/image/ab67616d0000b27341b1c6dc6c45d5cc69bdbec2,,,
16,lespaul,dark eyes,1951,pop,light bright dark shit backstage alright cause tons trays tons smoke cars tons pain slice skin break heart religion second highs like badminton bathrooms hide flask bag good girls act kill hardly stronger single hour pass feel longer yeah hour glass pour grain get smaller drink come quicker star smoke cloud look like autumn tree pretty color black thoughts eye bloodshot music note know feel skin lick feel high kill drink girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death feel feel motto take pills real need slow life like time lapse drug run time pass tell fuck need help young live life seat belt middle ocean pick seashells give detail live hell doubt time fuck feet fell california bear raise single female surf guess email tell stop need swear know felt pain pain killers wash away rain rain fall spot get go shoot maybe heart stop girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death,violence,https://open.spotify.com/track/3uVbJcUnYacOFWeCfS8cGj,https://i.scdn.co/image/ab67616d0000b27372fc68906dcb064bc4837817,,,
17,ashabhosle,kotha mukunda,1952,pop,wander garden fence say bring great expense potion guarantee bring relief suffer say exist grasp firmly wrist throw strap torture rack argument mind bend course devious torment worse say speak voice weak tongue blame maybe speak shame brain idle think hasten reply like fool believe think somebody leave,violence,https://open.spotify.com/track/2P7oyMgABQnLs7X5OLPe8X,https://i.scdn.co/image/ab67616d0000b27381c79777aa54ad14e6685d64,,,
18,ashabhosle,awaz deta hai sola ka din,1952,pop,easier bitch leave happier face upstairs agonna stomp shout door gonna throw laundry hold shotgun dosido want cyrano easier bitch go little miss little miss little miss wrong little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs people thoughts handmedowns simply turn cook nice brain surgery mama awith monkey wrench little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs yeah wrong wrong wrong wrong wrong cigarettes gonna cough hear song piss fine dollar ninetynine little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs little miss little miss little miss little miss wrong wrong wrong wrong little miss little miss little miss little miss wrong wrong little miss little miss little miss little miss wrong yeah,feelings,https://open.spotify.com/track/3ci9YeXRulpmFPDvqneVwc,https://i.scdn.co/image/ab67616d0000b27381c79777aa54ad14e6685d64,,,
19,mohammedrafi,jahan men log sachhe ashikon ko,1952,pop,park bag pack kind heart look comfortable glow porch word come undo face ghost decide inside burn need kill breathe hold hand search breath leave hop someday breathe breathe open secrets truth distance shelter come view hang head break heart build tear apart burden anymore need kill breathe hold hand search breath leave hop someday breathe hurt want hurt go need kill breathe hold hand search breath leave hop someday breathe breathe need kill breathe hold hand search breath leave hop someday breathe breathe,sadness,https://open.spotify.com/track/3ci9YeXRulpmFPDvqneVwc,https://i.scdn.co/image/ab67616d0000b273e129648f72d605af7ae436a9,,,
20,ghantasala,avanee nee pathi,1952,pop,feel take moment feel force veiny point tear hold point point clean stable face stay face fact fine say fine remember head manna hell drug need little think take like grow cry pavement hop face hear thing say couple days seat shake ask felt alright want hear truth want hear voice sound fine voice sound fine feel heartbeat take moment sleep alright veiny selfish fear restless night restless night blood sober feel audible crack tell curtain hang neck realize perfect teeth rip head look like paint know thoughts tire leak intact pray think angels end ambulances lord show dream daughter cry inside stomach felt,violence,https://open.spotify.com/track/42u2P9ex0WOXSosKJTbbbT,https://i.scdn.co/image/ab67616d0000b273af2b4a495a54b146ee1dccab,,,
21,ghantasala,ee jagamantha natika,1952,pop,know baby hang touch weak strong know cope down stay need roses right arm sweet thorns know touch weak strong know cope down stay need touch weak strong know cope down stay need touch weak strong know cope down stay need,romantic,https://open.spotify.com/track/5vAQyu9ycz7XeumHtBzUSp,https://i.scdn.co/image/ab67616d0000b27369e593689c50e5fd78d2af8d,,,
22,lespaul,smoke rings,1952,pop,tell smoke ring blow night circle blue white picture dream fade phantom parade care away night blow blow silky little ring little smoke ring care away night blow blow silky little ring little smoke ring,music,https://open.spotify.com/track/6afQyDHXp0KCyw1O6tSdeG,https://i.scdn.co/image/ab67616d0000b273f95f597fff2ab36cd54ee0aa,,,
23,mukesh,hum tujhse mohabbat kar ke,1952,pop,fly high sing good bring sing like brother tell wanna cause wanna sing song wanna arm night long wanna know wanna peaceful feelin home summer thunder moonbright days northern light sky ablaze bring lover sing silver wing fiery trail sing bring wanna sing wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna peaceful feelin home,music,https://open.spotify.com/track/16xOPtcESEwfA2ZicN4aNE,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21,,,
24,latamangeshkar,paas nahin aaiye haath na lagaiye,1952,pop,letter straight heart near apart night write memorize line kiss sign darling read right start letter straight heart,night/time,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b27353f9071f9a11ae16bc9aea73,,,
25,latamangeshkar,main na janoon,1952,pop,watch sunrise tropic isle pyramid nile remember darlin belong market place algiers send photograph souvenirs remember dream appear belong maybe lonesome blue ocean silver plane jungle rain remember home belong ocean silver plane jungle rain remember home belong,music,https://open.spotify.com/track/6RIhQiAZA8a3Q9QRmROaFQ,https://i.scdn.co/image/ab67616d0000b27336167a5cd027970d0f25acc9,,,
26,ashabhosle,gullyachi shapath,1952,pop,fuck fuck fuck rise fuck bitch know power face fuckin cowards wanna disembowel hour home smoke joint beat shower dispose evidence couple downers know know friends high drink drive innocent fool smile cause punk blow block nigga motherfucker fuck motherfucker punk bitch punk motherfucker motherfucker motherfucker motherfucker high motherfucker high motherfucker high ride motherfucker motherfuckin meet park pussy semper ready fight amendment right guarantee regardless shit like night grab spit shit spite push button fuck recite poems mean shed light hypocrites sodomites incite riot twilight zone tonight cause fuck shut fuck straight punk blow block fuck life cold hell control insecure know fuck immature try grow hydro power bring twin tower gather qaeda cowards burn hell deserve know fuck brother berg shut fuck straight punk blow block,obscene,https://open.spotify.com/track/2geQ0AgX51fnF8ocLInkfZ,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21,,,
27,latamangeshkar,judai ki khabar hoti agar,1952,pop,fame fruit tree unsound flourish stock grind fame time fly die forget remember update ruin outdated style life memory happen long theatre sadness long forget easy stop wonder wonder safe womb everlasting night darkness brightest light safe place deep earth know truly forget remember update ruin outdated style fame fruit tree unsound flourish stock grind fame time fly die fruit tree fruit tree know rain worry stand stare go fruit tree fruit tree open eye year know go,world/life,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21,,,
28,latamangeshkar,maagata maagata janm gele,1953,pop,help weakness hear drifter carry courtroom take away hasn pleasant time long know wrong judge cast robe aside tear come fail understand say outside crowd stir hear door inside judge step jury cry stop curse jury cry attendant nurse trial time worse bolt lightning strike courthouse shape rybody kneel pray drifter escape,violence,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b273dae56c1d097ca83ab08b1db8,,,
29,latamangeshkar,chupke chupke (from ''paying guest''),1953,pop,choice life freedom voice government care health cigarettes liquor shelf propaganda feed hungry beast government best govern choice people voice anslinger shady lie congress say marijuana kill hemp fibers threaten paper mill,violence,https://open.spotify.com/track/7mOqbIm21vaSQWYYjzKCfK,https://i.scdn.co/image/ab67616d0000b2739641a53a209b3aba0185de02,,,
30,ashabhosle,chahe kitna mujhe tum bulao ji,1953,pop,hadn lonely awake wonder wide world save give lonely heart demand cupid take hand hadn,sadness,https://open.spotify.com/track/2UU4ALDWrARtEvD3yfhRUZ,https://i.scdn.co/image/ab67616d0000b27381c79777aa54ad14e6685d64,,,
31,ashabhosle,tu bol na bol,1953,pop,touch lips spark fly devil lips know lie danger flame grow higher know surrender kiss like torch soul burn road return burn turn ash world crash kiss resist good try good deny desire kiss heart completely slave slave want pity pity lips lips borrow tonight devil tomorrow know kiss doom consume kiss resist good try good deny desire kiss heart completely slave slave want pity pity lips lips borrow tonight devil tomorrow know kiss doom consume kiss aaah burn,romantic,https://open.spotify.com/track/0u8wprNfOdcWpUlWnfMcpP,https://i.scdn.co/image/ab67616d0000b273ba70bf6f40bf97f8644562a9,,,
32,mukesh,raat andheri door savera,1953,pop,time feelin good time stoppin time livin high dust smilin onward thoughts away home travelin time settle satisfy wanderlust roam know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life shin point diggin cities land extend welcome hand till morning time know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life yeah yeah yeah yeah maybe road life road life yeah yeah yeah yeah yeah yeah yeah,world/life,https://open.spotify.com/track/5PVY6Y8UW8KBzcZYCwhr3q,https://i.scdn.co/image/ab67616d0000b273fee4bd511d80f01c9d2987bf,,,
33,ghantasala,thunintha pin,1953,pop,rebel runner signal turn green restless young romantic want machine problem poison know cure clean systems nature pure learn match beat world learn catch heat world mistake learn mend mess make know right young choose world weak lose world radio receiver tune factories farm writer ranger young bear arm problem power weapons patrol walk fine line selfcontrol try save world try pave world concern yesterday know constant change today know right weak choose wise world fool lose world learn match beat world learn catch heat world world,world/life,https://open.spotify.com/track/0eOL2cS9NemSsm1DvlOSko,https://i.scdn.co/image/ab67616d0000b273e139611dc422fb2346ef3f1f,,,
34,lespaul,i'm sitting on top of the world,1953,pop,sit world roll roll quit blue world sing song sing song hallelujah phone parson ready like humpty dumpty ready fall sit world roll roll quit blue world sing song sing song,music,https://open.spotify.com/track/1hwRl3b0RGexUjpYuRyKHX,https://i.scdn.co/image/ab67616d0000b273e139611dc422fb2346ef3f1f,,,
35,lespaul,the world is waiting for the sunrise,1953,pop,dear world wait sunrise cover world wait sunrise heart call dear world wait sunrise little cover heart call thrush high sleepy mate call heart call,romantic,https://open.spotify.com/track/36JEJ923q81GkE88VP5WAD,https://i.scdn.co/image/ab67616d0000b273b40255af4f60a1cbef74457f,,,
36,t.m.soundararajan,ethanai periya,1953,pop,watch world surround inside phone booth begin astound try couth say sunday cause rybody tellin truth monday yeah monday cause rybody drinkin vermouth lend hand kiss stand give away free acid joke smoke barely drive dusk headlights headphones tomorrow plan shop spree love hard like billboard grin toast life beauty head begin spin press cheek rainwashed streets weep reincarnation come december thirtyfirst worst time year think people like share beer have january explanations appear,world/life,https://open.spotify.com/track/4d9xcryUv5NjTSEMgxFKME,https://i.scdn.co/image/ab67616d0000b2730fcd8746bd3fcb9cd4e7d88b,,,
37,talatmahmood,ansoo to nahin hai ankhon men,1953,pop,yeah dance ceiling dance floor people come door know party go dance romance night long know cold outside come baby satisfy time steal groove party party party baby house party come baby crazy soul know gonna lose control boogaloo want know cold outside come baby satisfy time steal groove party party party baby house party yeah yeah know baby know cold outside come baby satisfy time steal groove party party party baby house party say groove baby lose say roll stroll baby control party baby party baby party baby house party party party party party party party party come body party party come body,obscene,https://open.spotify.com/track/4GYM4WRBneNjLs8LaFNUiZ,https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356,,,
38,andywilliams,it's the most wonderful time of the year,1953,pop,wonderful time year kid jingle bell tell good cheer wonderful time year haphappiest season holiday greet meet friends come haphappiest season party host marshmallows toast carol snow scary ghost stories tales glory christmases long long wonderful time year mistletoeing hearts glow love ones near wonderful time year party host marshmallows toast carol snow scary ghost stories tales glory christmases long long wonderful time year mistletoeing hearts glow love ones near wonderful time wonderful time wonderful time wonderful time year,night/time,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21,,,
39,latamangeshkar,chandan ka palna resham ko dori,1954,pop,want know remember silly forget matter want need belong rest life marry wife wooo rest life marry wife wooo,world/life,https://open.spotify.com/track/2QT3N16dYd2xAuzYmRRRMb,https://i.scdn.co/image/ab67616d0000b2736f39da36b20a464bdc28fd21,,,
40,latamangeshkar,le chal ri nindiya le chal hamen,1954,pop,stand stand walk jaw hell walk jaw hell anytime anytime stand wipe anytime wipe anytime anytime stand raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops,violence,https://open.spotify.com/track/6fAd7h8Jt3Hsf764rn7kEV,https://i.scdn.co/image/ab67616d0000b273af5da5bb6f2b37f6c2f5cb80,,,
41,frankielaine,after you've gone,1954,pop,know inside know sorry tale hyde die know tragedy intent hyde evil forever kill good mean good fine line good think think free simply away face mirror close eye disappear face face mirror long live nightmare die scream tonight shall demon dream dream friend nightmare go hyde stay matter pretend flourish long go soon memory hide choose lose control control live deep inside feel devour soul need survive need dance death rejoice breathe final breath live inside forever satan know forever able separate jekyll hyde time damn hyde leave deep inside hyde forever damn hyde evil deeds hell jekyll,violence,https://open.spotify.com/track/73SLdRn1IbciLWyK4e2d8p,https://i.scdn.co/image/ab67616d0000b27329fc8f5c12bdaeb322cbbd80,,,
42,ashabhosle,mere hamsafar tujhe kya khabar,1954,pop,hold close tonight hear doubt alright felt special dream come true happen know care wrap arm world special mystery special,romantic,https://open.spotify.com/track/4BoFJMLSO3ZoD48KgnslSe,https://i.scdn.co/image/ab67616d0000b273d0616eb9065ff79ed76a8563,,,
43,sven-bertiltaube,viljen i veta (would you like to know?),1954,pop,world trouble baby world pain world trouble grind gain give watch world go hard life live walk world sorrow world shame world sorrow grind gain spend life wish want wonder long life live walk world golden world plain world soul compass heart pair wing horizon rise bright azure rest time give walk high,world/life,https://open.spotify.com/track/6j0kjmZCbPW9JNoyrEnWZM,https://i.scdn.co/image/ab67616d0000b2735980cda6de8365d077f34a5e,,,
44,bobbyvinton,blue velvet,1954,pop,blue wear blue bluer night softer satin light star wear blue bluer eye warmer tender sigh hold tightly feel rapture grow like flame burn brightly leave go glow blue heart precious warm memory years blue tear wear blue heart precious warm memory years blue tear blue,music,https://open.spotify.com/track/4QelFzhVgLomeQhvKrwM1S,https://i.scdn.co/image/ab67616d0000b2733466a3ad58d1029ac7ac9c33,,,
45,loshermanosarriagada,poema,1954,pop,night mind deep dream till time look eye touch soul hard hide apart feel heart know lock door throw away save save night dream belong hold feel right heart lock door throw away save save night save save turn know come baby stay save save turn need save save save save save baby save save,sadness,https://open.spotify.com/track/70pgnFns8UgV5bA6h0aIH9,https://i.scdn.co/image/ab67616d0000b2732a8c6f8bb79e6b1bbdbe4119,,,
46,thedrifters,the bells of st. mary's,1954,pop,bell stmary hear call young love true love come beloved leave fall bell shall ring ring bell stmary hear call young love true love come beloved leave fall bell shall ring ring,music,https://open.spotify.com/track/2W7S8BIesug04Wr1AdAalQ,https://i.scdn.co/image/ab67616d0000b27361ebbe41a5f1a4074e94ead2,,,
47,thechordettes,for me and my gal,1954,pop,bell ring bird sing rybody know wed go weeks sew congregate parson wait gonna build little home land,music,https://open.spotify.com/track/01thC2bujpFoShWdK9MWt5,https://i.scdn.co/image/ab67616d0000b2737ca82d89b6a0972696516080,,,
48,harrybelafonte,mark twain,1954,pop,granddad tell river pilot showboat call stage hobnob southern bell roustabout listen paddle wheel hear leadsman shout twain fathom deep twain heave gang plank start twain play banjos mississippi round gulf mexico gamblers crook fakers minstrel dance singin lamour import straight floatin palace showboat call stage granddad calliope quiet rudder rust main deck paddle wheel cover high dust granddad standin halo round pilot hear,music,https://open.spotify.com/track/6nrgscxafgSOEtDKdSlwea,https://i.scdn.co/image/ab67616d0000b273cbb4e4be8129e8bbe13c3029,,,
49,harrybelafonte,the next big river,1954,pop,boat ashore hallelujah boat ashore hallelujah river chilly cold hallelujah warm human soul hallelujah world mighty place hallelujah satan face hallelujah boat ashore hallelujah boat ashore hallelujah hallelujah walk right hallelujah reason felines permit hallelujah hallelujah boat ashore hallelujah boat ashore hallelujah hear say hallelujah world think dead hallelujah take ride hallelujah whale inside hallelujah boat ashore hallelujah boat ashore hallelujah build hallelujah work dark hallelujah leave foreign shore hallelujah family oars hallelujah boat ashore hallelujah boat ashore hallelujah nail cross hallelujah lose hallelujah soldier hallelujah hold line arkansas hallelujah boat ashore hallelujah boat ashore hallelujah jericho hallelujah alabama hallelujah mississippi kneel pray hallelujah bus hallelujah boat ashore hallelujah boat ashore hallelujah,violence,https://open.spotify.com/track/4fHDlIntTsRGSyTg5UYZYC,https://i.scdn.co/image/ab67616d0000b273f19431eb891ce6b051429373,,,
50,latamangeshkar,sitaron ki mehfil saji,1954,pop,rope throw fall know deep stare real hard water perceive distance yeah distance world measure hand land write understand distance yeah distance awake hear breathe inch space need live dead awake hear breathe inch space need live dead climb earth tallest mountain reach bullet straight sight stop heavens half high distance distance,violence,https://open.spotify.com/track/4CxanJfXYXqRxu2Yma7NGU,https://i.scdn.co/image/ab67616d0000b2735c46c7793afcb860a6da2602,,,
51,a.m.rajah,gopiparivrito,1954,pop,deal pharmaceuticals sell pills yesterday sister call tell kill respectable doctor hill shoot heart feel thing poor deal pharmaceuticals sell expensive drug give money hell think medicine prescription fill come goodbye sorry die come finish pay come finish pay come finish pay come finish pay deal pharmaceuticals sell pills yesterday sister call tell kill medicine prescription fill come goodbye sorry die come finish pay come finish pay come finish pay come finish pay,obscene,https://open.spotify.com/track/2b8vt1Bq5CEioTvBfUqAqp,https://i.scdn.co/image/ab67616d0000b273f175145b296241ecaf1f6b13,,,
52,jonahjones,you're the cream in my coffee,1954,pop,fade dear serenade evade wonder blue listen plead nearness need time heed offer quanto sonno agiu perso famme durmi notte abbraciata quanto sonno agiu perse famme durmi quanto sonno agiu perse famme durmi,music,https://open.spotify.com/track/7G8tqMRPB78mArUoozLcrV,https://i.scdn.co/image/ab67616d0000b273a60e3d480549fb60719a10cc,,,
53,latamangeshkar,kabhi khamosh rahte hain,1955,pop,feel better fuck write better stick grind teach lesson cause learn yeah shin children burn heart beat cage want want feel feel stick city belong field yeah leave leave leave leave leave leave leave morning eat heart beat cage friends laugh love mistrust help look leave go concert fight crowd guess excite think get leave leave leave leave leave leave leave sorry think steal heart beat cage heart beat cage heart beat cage,sadness,https://open.spotify.com/track/418v2RdbaHUOdWJt5AzOMP,https://i.scdn.co/image/ab67616d0000b273b348db1caa9347eb98fe6b93,,,
54,mohammedrafi,khanke to khanke,1955,pop,heart home lips know rest heart home home suit best eye know life eye know home heart heart endure nicest heart home know roam line heart home divine heart home heart home divine heart home,sadness,https://open.spotify.com/track/2QduffmP1CwjJ6kAA5hkUk,https://i.scdn.co/image/ab67616d0000b2735a1866190313095228de9f4d,,,
55,johnnieray,here am i,1955,pop,break hearted forget mighty soon break hearted time say goodbye know lose lose therer girl break hearted heart know pain hadn love vain break hearted,sadness,https://open.spotify.com/track/3sT9XXvQO2o5lJRDFOHzso,https://i.scdn.co/image/ab67616d0000b2733d3e14345b891f0c3790593d,,,
56,lespaul,brazil,1955,pop,brazil hearts entertain stand beneath moon softly murmur someday soon kiss cling tomorrow morning away million things twilight dim recall thrill thing certain return brazil,world/life,https://open.spotify.com/track/0nghE8iUqF4SkTaMqQNxiG,https://i.scdn.co/image/ab67616d0000b2738c77629ecb8bf6c32e0c6f51,,,
